epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,21126.3,1.34225,1.06057,0.01223,0.81684,0.72444,0.81622,0.55821,1.25917,0.87157,0.0144,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,21418.8,1.32852,1.06389,0.01222,0.81953,0.7249,0.81698,0.55886,1.25804,0.86813,0.01439,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,21711.3,1.33373,1.05795,0.0122,0.82471,0.72378,0.81781,0.55991,1.25694,0.86467,0.01436,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,22005.5,1.3237,1.04877,0.01202,0.82327,0.72505,0.81788,0.56042,1.25484,0.8642,0.01432,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,22299.1,1.31791,1.03055,0.01204,0.82266,0.72617,0.81845,0.56102,1.25355,0.86239,0.01431,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,22592.8,1.31181,1.02808,0.01193,0.81654,0.72783,0.81857,0.56129,1.25281,0.8588,0.01431,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,22885.6,1.32136,1.0319,0.01202,0.81519,0.73126,0.81845,0.56142,1.25152,0.85915,0.01429,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,23178.1,1.30472,1.00591,0.01189,0.81224,0.73391,0.8191,0.56181,1.25081,0.8567,0.01428,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,23473.3,1.29869,1.02159,0.01179,0.8187,0.72876,0.81881,0.56229,1.24985,0.85259,0.01426,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,23767.6,1.30818,0.99885,0.01184,0.81245,0.73282,0.81971,0.56322,1.24979,0.84804,0.01427,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,24062.7,1.29908,0.99364,0.01181,0.81342,0.73457,0.82085,0.56408,1.24926,0.84418,0.01425,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,24358,1.29196,0.99628,0.0117,0.81208,0.73752,0.82141,0.56522,1.24671,0.84464,0.0142,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,24650.5,1.29595,0.9926,0.01172,0.81943,0.73459,0.8227,0.56547,1.24603,0.84243,0.0142,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,24944.5,1.29521,0.9866,0.01166,0.81839,0.73439,0.82258,0.56563,1.24537,0.84148,0.01419,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,25239.3,1.27493,0.98381,0.01149,0.81939,0.73673,0.8237,0.56692,1.24592,0.83556,0.01418,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,25534.4,1.28141,0.97997,0.01158,0.82095,0.73493,0.82344,0.56696,1.24556,0.8323,0.01416,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,25829.7,1.27316,0.96087,0.01139,0.82217,0.73728,0.82401,0.56761,1.24511,0.82676,0.01414,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,26122.6,1.26644,0.95304,0.01141,0.8227,0.73739,0.82472,0.56843,1.24479,0.8251,0.01414,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,26415.3,1.26113,0.94032,0.01133,0.82147,0.73786,0.82472,0.56864,1.24406,0.82177,0.01414,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,26709.5,1.26579,0.94229,0.01147,0.8244,0.73673,0.82536,0.56896,1.24338,0.81776,0.01414,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,27004.5,1.25463,0.94202,0.01124,0.82316,0.73919,0.82616,0.56973,1.2427,0.815,0.01412,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,27298.8,1.25151,0.94111,0.01138,0.8233,0.74034,0.82628,0.57007,1.24065,0.81404,0.01408,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,27593.3,1.23694,0.91584,0.01104,0.82365,0.73921,0.82597,0.56993,1.24064,0.81154,0.01408,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,27886.4,1.23911,0.91946,0.01098,0.82282,0.73953,0.82691,0.57056,1.2379,0.81024,0.01402,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,28179.7,1.24109,0.91384,0.01108,0.82334,0.74349,0.82743,0.5711,1.23903,0.80515,0.01404,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,28473.4,1.24098,0.9086,0.01101,0.83121,0.73703,0.82864,0.572,1.23865,0.80163,0.01403,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,28768.2,1.22475,0.90265,0.01095,0.8341,0.7355,0.82828,0.57239,1.23772,0.80063,0.01401,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,29062.5,1.22708,0.89384,0.01101,0.83148,0.73718,0.82804,0.57278,1.23672,0.7993,0.01399,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,29355.3,1.21795,0.89929,0.01093,0.8342,0.73887,0.82871,0.57315,1.23572,0.79687,0.01398,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,29648.7,1.20708,0.88059,0.01085,0.82356,0.74597,0.82866,0.57364,1.23468,0.79629,0.01397,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,29943.2,1.20694,0.87395,0.01074,0.83183,0.74142,0.82928,0.57458,1.23495,0.79318,0.01396,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,30237.9,1.20878,0.88368,0.01064,0.83056,0.74524,0.83022,0.57545,1.23456,0.7894,0.01396,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,30532.9,1.19749,0.86238,0.01065,0.83497,0.74071,0.83055,0.57572,1.23474,0.78811,0.01396,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,30827.4,1.19117,0.86603,0.01052,0.83453,0.74282,0.83071,0.57608,1.23508,0.78503,0.01397,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,31120.6,1.18972,0.86295,0.01057,0.83497,0.74405,0.83101,0.57657,1.23423,0.78256,0.01395,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,31414.8,1.18997,0.83973,0.01048,0.8361,0.74462,0.83155,0.57719,1.23429,0.77962,0.01396,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,31708.7,1.17934,0.83559,0.01046,0.83589,0.74337,0.83121,0.57736,1.23288,0.77901,0.01394,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,32004.4,1.16138,0.82289,0.01024,0.83585,0.74487,0.83188,0.57801,1.23216,0.77798,0.01392,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,32300,1.17406,0.82797,0.01031,0.84234,0.7394,0.83282,0.57896,1.23173,0.77677,0.01389,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,32594.5,1.15894,0.82404,0.01025,0.83928,0.74383,0.83287,0.57911,1.23177,0.7738,0.01391,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,32904.7,1.14448,0.66645,0.01252,0.8389,0.74589,0.83365,0.57983,1.23027,0.77119,0.01389,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,33199.4,1.13313,0.64005,0.01236,0.84347,0.74507,0.83501,0.58075,1.22994,0.76801,0.01388,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,33492.7,1.12598,0.63213,0.01221,0.84157,0.74715,0.83547,0.58116,1.22891,0.76646,0.01386,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,33786.2,1.11302,0.62945,0.01203,0.84063,0.74811,0.83519,0.58125,1.22736,0.76644,0.01384,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,34079.5,1.10078,0.61079,0.01187,0.84688,0.743,0.83532,0.58171,1.22612,0.76629,0.01383,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,34371.1,1.09455,0.61151,0.01171,0.84481,0.74788,0.83586,0.58222,1.22755,0.76189,0.01384,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,34662.5,1.08906,0.59668,0.01164,0.84589,0.74544,0.83639,0.58265,1.22659,0.76084,0.01381,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,34954.6,1.08795,0.59737,0.01164,0.84156,0.75184,0.83702,0.58319,1.22624,0.75861,0.01381,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,35248,1.08266,0.5888,0.01153,0.84283,0.75048,0.83734,0.58369,1.22607,0.7571,0.0138,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,35542,1.07432,0.58407,0.01136,0.83898,0.75533,0.83781,0.58395,1.22533,0.7571,0.01379,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
